Hostname,Datetime,IP,Name,Description,PID,VID,SN
LEILOSX003,1/9/2024 11:06:02 PM,10.133.11.3,1,WS-C3560CX-12PC-S,WS-C3560CX-12PC-S,V03,FOC2313Y11R
LEILOSX002,1/9/2024 11:06:17 PM,10.133.11.2,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V03,FOC2042Z4TC
LEILOCX001,1/9/2024 11:06:09 PM,10.133.11.250,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V04,FOC2301T0PZ
LEILOFW011,1/9/2024 11:06:49 PM,10.133.252.1,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2541X197
LEILOSX001,1/9/2024 11:07:03 PM,10.133.11.1,1,WS-C3560CG-8PC-S,WS-C3560CG-8PC-S,V03,FOC1910Y0HV
LEILOVR001,1/9/2024 11:07:21 PM,10.133.253.6,VG204XM Chassis,VG204XM Chassis,VG204XM,V01,FOL2527Z00K
