Hostname,Datetime,IP,Name,Description,PID,VID,SN
MNSLOCX001,1/9/2024 11:06:07 PM,10.179.11.250,1,WS-C3560CX-12PD-S,WS-C3560CX-12PD-S,V04,FOC2347L157
MNSLOFW011,1/9/2024 11:06:53 PM,10.179.252.1,module 0,"Firepower 1010 Appliance, Desktop, 8 GE, 1 MGMT",FPR-1010,V01,JMX2538X14J
MNSLOVR001,1/9/2024 11:07:07 PM,10.179.253.6,887VA-V,"887VA-V chassis, Hw Serial#: FCZ1821C1GU, Hw Revision: 1.0",C887VA-V-W-E-K9,V01,FCZ1821C1GU
MNSLOVR001,1/9/2024 11:07:07 PM,10.179.253.6,PVDMII DSP SIMM with one DSP on Motherboard,PVDMII DSP SIMM with one DSP on Motherboard,PVDM2-16,V01,FOC18152AJX
